id,source,source_id,source_reg,title,status_id,doc_date,revision_date,has_text,text_length,word_count,collected_at
304,rada,551714,69-2026-р,Про звільнення Адаманова Е.Б. з посади заступника Міністра охорони здоров'я України,5,2026-01-28,2026-01-28,t,322,43,2026-02-02 12:46:41.437991
303,rada,551716,70-2026-р,"Про звільнення Карташова П.І. з посади заступника Міністра економіки, довкілля та сільського господарства України",5,2026-01-28,2026-01-28,t,381,49,2026-02-02 12:46:41.432651
302,rada,551709,n0045500-26,Про офіційний курс гривні щодо іноземних валют,0,2026-02-02,2026-02-02,t,11568,755,2026-02-02 12:46:41.426435
301,rada,551710,n0046500-26,Про облікову ціну банківських металів,0,2026-02-02,2026-02-02,t,11568,755,2026-02-02 12:46:41.414337
252,rada,551694,4742-20,Про академічну доброчесність,5,2025-12-18,2025-12-18,t,134,19,2026-02-02 11:12:58.982317
251,rada,551635,66-2026-п,"Питання присвоєння спеціальних звань Бюро економічної безпеки та їх співвідношення з іншими спеціальними, а також військовими званнями",5,2026-01-21,2026-01-21,t,26373,3376,2026-02-02 11:12:58.484527
250,rada,551636,67-2026-п,Про затвердження Положення про українсько-молдовську Змішану Комісію з питань будівництва автодорожнього прикордонного мостового переходу через річку Дністер на українсько-молдовському державному кордоні в районі населених пунктів Ямпіль - Косеуць,5,2026-01-21,2026-01-21,t,6519,822,2026-02-02 11:12:58.476105
249,rada,551707,71-2026-р,"Про затвердження складу Комісії з проведення незалежного зовнішнього оцінювання (аудиту) ефективності діяльності Національного агентства з питань виявлення, розшуку та управління активами, одержаними від корупційних та інших злочинів",5,2026-01-28,2026-01-28,t,1108,90,2026-02-02 10:46:56.120815
200,rada,551647,z1961-25,Про внесення змін до Інструкції з організації пропускного режиму до адміністративної будівлі Державної аудиторської служби України,5,2025-11-13,2025-11-13,t,22024,2617,2026-02-02 09:24:06.759662
199,rada,550126,z1785-25,"Про затвердження Положення про структуру власності юридичних осіб, процедуру та умови отримання погодження Національної комісії з цінних паперів та фондового ринку істотної участі у професійних учасниках ринків капіталу та організованих товарних ринків",5,2025-11-14,2026-02-01,t,119060,15618,2026-02-02 09:24:06.75312
198,rada,551628,848/2025,Про відзначення державними нагородами України,0,2025-11-18,2025-11-18,t,6390,705,2026-02-02 09:24:06.746103
197,rada,551523,849/2025,Про нагородження відзнакою Президента України «Майбутнє України»,0,2025-11-20,2025-11-20,t,2907,330,2026-02-02 09:24:06.740474
196,rada,551608,z1964-25,Про деякі питання у сфері громадянства,5,2025-11-21,2025-11-21,t,3775,497,2026-02-02 09:24:06.734285
195,rada,551655,851/2025,Про відзначення державними нагородами України,0,2025-11-21,2025-11-21,t,13684,1488,2026-02-02 09:24:06.728518
194,rada,551656,852/2025,Про відзначення державними нагородами України,0,2025-11-21,2025-11-21,t,12340,1353,2026-02-02 09:24:06.722873
193,rada,549802,854/2025,"Про делегацію України для участі в переговорному процесі зі Сполученими Штатами Америки та іншими міжнародними партнерами України, а також із представниками Російської Федерації щодо досягнення справедливого і сталого миру",0,2025-11-22,2026-01-27,t,2307,290,2026-02-02 09:24:06.717502
192,rada,551665,855/2025,Про відзначення державними нагородами України,0,2025-11-24,2025-11-24,t,6293,715,2026-02-02 09:24:06.712919
191,rada,551657,z1955-25,Про затвердження Порядку організації і проведення практичної підготовки курсантів (слухачів) Національної академії Державної прикордонної служби України імені Богдана Хмельницького,5,2025-11-26,2025-11-26,t,31950,3721,2026-02-02 09:24:06.707157
190,rada,551706,z0007-26,Про ведення територіальними центрами комплектування та соціальної підтримки прийому громадян із застосуванням системи електронної черги,5,2025-11-26,2025-11-26,t,23121,2951,2026-02-02 09:24:06.701123
189,rada,551475,z1878-25,Про затвердження Положення про премію імені Шолом-Алейхема,5,2025-11-27,2026-01-13,t,17822,2278,2026-02-02 09:24:06.694726
